			Номер страницы		SLP1		SLP1		IAST  + фopмa		RUS		ENG		CHEH	
<L>	5194	<pc>	220	<K1>	nirmA	</K1><K2>	nirmA	</K2>@<K2>	 +nir (nirmā)	</K2><p><LANG n = "RUSSIAN">	измерять, формировать, создавать, построить	</LANG><p><LANG n = "ENGLISH">	to measure out, form, create, build	</LANG><p><LANG n = "CZECH">	vyměřovati, formovati, tvořiti, zbudovati	<p>@<LEND>
<L>	5195	<pc>	220	<K1>	parimA	</K1><K2>	parimA	</K2>@<K2>	 +pari (parimā)	</K2><p><LANG n = "RUSSIAN">	измерять кругом, определять	</LANG><p><LANG n = "ENGLISH">	to measure around, limit	</LANG><p><LANG n = "CZECH">	měřiti kolem, vymeziti	<p>@<LEND>
<L>	5196	<pc>	220	<K1>	vimA	</K1><K2>	vimA	</K2>@<K2>	 +vi (vimā)	</K2><p><LANG n = "RUSSIAN">	измерить, устроить, перешагнуть	</LANG><p><LANG n = "ENGLISH">	to measure out, arrange, pass over	</LANG><p><LANG n = "CZECH">	vyměřiti, uspořádati, překročiti	<p>@<LEND>
<L>	5197	<pc>	220	<K1>	mAMjizWa	</K1><K2>	mAMjizWa	</K2>@<K2>	māṃjiṣṭha v. māñjiṣṭha 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5198	<pc>	220	<K1>	mAMsa	</K1><K2>	mAMsa	</K2>@<K2>	māṁsa n.	</K2><p><LANG n = "RUSSIAN">	мясо	</LANG><p><LANG n = "ENGLISH">	meat, flesh	</LANG><p><LANG n = "CZECH">	maso	<p>@<LEND>
<L>	5199	<pc>	221	<K1>	mAkis	</K1><K2>	mAkis	</K2>@<K2>	mākis adv.	</K2><p><LANG n = "RUSSIAN">	чтобы никогда	</LANG><p><LANG n = "ENGLISH">	may never	</LANG><p><LANG n = "CZECH">	kéž nikdy	<p>@<LEND>
<L>	5200	<pc>	221	<K1>	mAgaDa	</K1><K2>	mAgaDa	</K2>@<K2>	māgadha (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	махадхский; m. махадхский князь; бард	</LANG><p><LANG n = "ENGLISH">	relating to the Magadha country; m. a king of the Magadhas; a bard	</LANG><p><LANG n = "CZECH">	magadhský; m. magadhský kníže; bard	<p>@<LEND>
<L>	5201	<pc>	221	<K1>	mAYjizWa	</K1><K2>	mAYjizWa	</K2>@<K2>	māñjiṣṭha	</K2><p><LANG n = "RUSSIAN">	окрашенный мареной, красный	</LANG><p><LANG n = "ENGLISH">	tinged with madder, red 	</LANG><p><LANG n = "CZECH">	zbarvený mořenou, červený	<p>@<LEND>
<L>	5202	<pc>	221	<K1>	mAtaNga	</K1><K2>	mAtaNga	</K2>@<K2>	mātaṅga m. 	</K2><p><LANG n = "RUSSIAN">	слон	</LANG><p><LANG n = "ENGLISH">	an elephant	</LANG><p><LANG n = "CZECH">	slon	<p>@<LEND>
<L>	5203	<pc>	221	<K1>	mAtar	</K1><K2>	mAtar	</K2>@<K2>	mātar f.	</K2><p><LANG n = "RUSSIAN">	мать; du. родители; земля и небо	</LANG><p><LANG n = "ENGLISH">	а mother; du. parents; earth and heaven	</LANG><p><LANG n = "CZECH">	matka; du. гоdiče; země a nebe	<p>@<LEND>
<L>	5204	<pc>	221	<K1>	mAtariSvan	</K1><K2>	mAtariSvan	</K2>@<K2>	mātariśvan m.	</K2><p><LANG n = "RUSSIAN">	имя Агния; (позднее:) ветер	</LANG><p><LANG n = "ENGLISH">	name of Agni; (later:) wind 	</LANG><p><LANG n = "CZECH">	jměno Agniho; (později:) vitr	<p>@<LEND>
<L>	5205	<pc>	221	<K1>	mAtula	</K1><K2>	mAtula	</K2>@<K2>	mātula m. 	</K2><p><LANG n = "RUSSIAN">	брат матери, дядя	</LANG><p><LANG n = "ENGLISH">	mother's brother, a maternal uncle	</LANG><p><LANG n = "CZECH">	matčin bratr, strýc	<p>@<LEND>
<L>	5206	<pc>	221	<K1>	mAtuluNga	</K1><K2>	mAtuluNga	</K2>@<K2>	mātuluṅga m.	</K2><p><LANG n = "RUSSIAN">	вид лимонного дерева; n. лимон	</LANG><p><LANG n = "ENGLISH">	а kind of citron tree; n. a citron 	</LANG><p><LANG n = "CZECH">	druh citroniku; n. citron	<p>@<LEND>
<L>	5207	<pc>	221	<K1>	mAtrA	</K1><K2>	mAtrA	</K2>@<K2>	mātrā f.	</K2><p><LANG n = "RUSSIAN">	мера, количество, малая часть; -° a. имеющий в качестве своей меры; такой большой, широкий и m. д.; имеющий в качестве границы; только	</LANG><p><LANG n = "ENGLISH">	measure, quantity, a small portion; -° a. having as its measure; so and so large, broad &c.; having as its limit; not more than; only, merely	</LANG><p><LANG n = "CZECH">	míra, množství, malá částka; -° a. mající jako svou miru; tak а tak veliký, široký atd.; mající jako hranicí; nic než; jen	<p>@<LEND>
<L>	5208	<pc>	221	<K1>	mAtrAtva	</K1><K2>	mAtrAtva	</K2>@<K2>	 +mātrātva n. abstr.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5209	<pc>	221	<K1>	AhAramAtra	</K1><K2>	AhAramAtra	</K2>@<K2>	āhāramātra	</K2><p><LANG n = "RUSSIAN">	только пища	</LANG><p><LANG n = "ENGLISH">	only food	</LANG><p><LANG n = "CZECH">	jen jidlo	<p>@<LEND>
<L>	5210	<pc>	221	<K1>	mAtsarya	</K1><K2>	mAtsarya	</K2>@<K2>	mātsarya n.	</K2><p><LANG n = "RUSSIAN">	зависть	</LANG><p><LANG n = "ENGLISH">	envy	</LANG><p><LANG n = "CZECH">	závist	<p>@<LEND>
<L>	5211	<pc>	221	<K1>	mATura	</K1><K2>	mATura	</K2>@<K2>	māthura (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	матхурский	</LANG><p><LANG n = "ENGLISH">	relating to Mathurā, coming from or dwelling in Mathurā	</LANG><p><LANG n = "CZECH">	mathurský	<p>@<LEND>
<L>	5212	<pc>	221	<K1>	mAdfSa	</K1><K2>	mAdfSa	</K2>@<K2>	mādṛśa (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	похожий на меня; m. такой же человек как и я	</LANG><p><LANG n = "ENGLISH">	resembling me; m. one like me 	</LANG><p><LANG n = "CZECH">	mně podobný; m. člověk jako já	<p>@<LEND>
<L>	5213	<pc>	221	<K1>	mAdrI	</K1><K2>	mAdrI	</K2>@<K2>	mādrī f.	</K2><p><LANG n = "RUSSIAN">	принцесса из рода Мадра; имя второй жены Панду	</LANG><p><LANG n = "ENGLISH">	princess of the Madras; name of the second wife of Pāṇḍu	</LANG><p><LANG n = "CZECH">	princezna z rodu Madrů; jméno druhé ženy Pāṇḍuovy	<p>@<LEND>
<L>	5214	<pc>	221	<K1>	mADava	</K1><K2>	mADava	</K2>@<K2>	mādhava (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	весенний; m. название второго весеннего месяца; весна; потомок Мадху (Кришна и пр.) 	</LANG><p><LANG n = "ENGLISH">	vernal; m. name of the second month of spring; spring; a descendant of Madhu (Kṛṣṇa &c.) 	</LANG><p><LANG n = "CZECH">	jarní; m. název druhého jarního měsíce; jaro; potomek Madhuův (Kṛṣṇa а j.) 	<p>@<LEND>
<L>	5215	<pc>	221	<K1>	mAna	</K1><K2>	mAna	</K2>@<K2>	I māna m., n. (cf. man) 	</K2><p><LANG n = "RUSSIAN">	мнение, оценка, уважение, гордость, гнев, свара, каприз	</LANG><p><LANG n = "ENGLISH">	opinion, estimation, honour, pride, anger, squabbling, caprice, sulking	</LANG><p><LANG n = "CZECH">	míněm, oceňování, úcta, pýcha, hněv, škorpení, vrtoch	<p>@<LEND>
<L>	5216	<pc>	221	<K1>	mAna	</K1><K2>	mAna	</K2>@<K2>	II māna m. (сf. lll mā) 	</K2><p><LANG n = "RUSSIAN">	здание, дом; n. мера, размер, сходство, вид, доказательство	</LANG><p><LANG n = "ENGLISH">	a building, house; n. measure, dimension, similarity, appearance, proof	</LANG><p><LANG n = "CZECH">	budova, dům; n. míra, rozměr, podobnost, zjev, důkaz	<p>@<LEND>
<L>	5217	<pc>	221	<K1>	mAnava	</K1><K2>	mAnava	</K2>@<K2>	mānava (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	происходящий от Ману, человеческий; m. человек, потомок или ученик или последователь Ману	</LANG><p><LANG n = "ENGLISH">	coming from Manu, human; m. a man, descendant or pupil or follower of Manu	</LANG><p><LANG n = "CZECH">	pocházející od Manua, lidský; m. člověk, potomek nebo žák nebo následovník Manuuv	<p>@<LEND>
<L>	5218	<pc>	222	<K1>	mAnavaDarmaSAstra	</K1><K2>	mAnavaDarmaSAstra	</K2>@<K2>	mānavadharmaśāstra n.	</K2><p><LANG n = "RUSSIAN">	название законника приписываемого Ману	</LANG><p><LANG n = "ENGLISH">	name of the law-book attributed to Manu	</LANG><p><LANG n = "CZECH">	název zákoníku připisovaného Manuovi	<p>@<LEND>
<L>	5219	<pc>	222	<K1>	mAnavant	</K1><K2>	mAnavant	</K2>@<K2>	mānavant	</K2><p><LANG n = "RUSSIAN">	пользующийся уважением	</LANG><p><LANG n = "ENGLISH">	enjoying honour	</LANG><p><LANG n = "CZECH">	požívající úcty	<p>@<LEND>
<L>	5220	<pc>	222	<K1>	mAnasa	</K1><K2>	mAnasa	</K2>@<K2>	mānasa (f. -ī, -ā) 	</K2><p><LANG n = "RUSSIAN">	рожденный из мысли, душевный; n. мысль, душа	</LANG><p><LANG n = "ENGLISH">	produced from the mind, mental; n. the mind, soul	</LANG><p><LANG n = "CZECH">	zrozený z mysli, duševní; n. mysl, duše	<p>@<LEND>
<L>	5221	<pc>	222	<K1>	mAnin	</K1><K2>	mAnin	</K2>@<K2>	mānin	</K2><p><LANG n = "RUSSIAN">	думающий, считающийся, гордый, гневный, капризный	</LANG><p><LANG n = "ENGLISH">	thinking, considering oneself as, proud, angry, capricious	</LANG><p><LANG n = "CZECH">	myslicí, pokládající se za, pyšný, hněvivý, vrtošivý	<p>@<LEND>
<L>	5222	<pc>	222	<K1>	mAnuza	</K1><K2>	mAnuza	</K2>@<K2>	mānuṣa (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	относящийся к людям или принадлежащий людям, человеческий, любезный; m. человек	</LANG><p><LANG n = "ENGLISH">	pertaining or belonging to mankind, human, humane, kind; m. a man	</LANG><p><LANG n = "CZECH">	vztahující se k lidem nebo patřící lidem, lidský, laskavý; m. člověk	<p>@<LEND>
<L>	5223	<pc>	222	<K1>	mAmizI	</K1><K2>	mAmizI	</K2>@<K2>	māmiṣī f.	</K2><p><LANG n = "RUSSIAN">	женщина	</LANG><p><LANG n = "ENGLISH">	a woman	</LANG><p><LANG n = "CZECH">	žena	<p>@<LEND>
<L>	5224	<pc>	222	<K1>	mAyA	</K1><K2>	mAyA	</K2>@<K2>	māyā f.	</K2><p><LANG n = "RUSSIAN">	сверхъестественная сила, обман, волшебство, иллюзия	</LANG><p><LANG n = "ENGLISH">	а supernatural power, deceit, sorcery, illusion	</LANG><p><LANG n = "CZECH">	nadpřirozená síla, klam, ouzlo, iluse	<p>@<LEND>
<L>	5225	<pc>	222	<K1>	mAya	</K1><K2>	mAya	</K2>@<K2>	māya (-°) a. (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	обманчивый	</LANG><p><LANG n = "ENGLISH">	deceitful	</LANG><p><LANG n = "CZECH">	klamný	<p>@<LEND>
<L>	5226	<pc>	222	<K1>	mAyu	</K1><K2>	mAyu	</K2>@<K2>	māyu m. 	</K2><p><LANG n = "RUSSIAN">	блеяние, мычание	</LANG><p><LANG n = "ENGLISH">	bleating, bellowing	</LANG><p><LANG n = "CZECH">	mečení, bučení	<p>@<LEND>
<L>	5227	<pc>	222	<K1>	mAra	</K1><K2>	mAra	</K2>@<K2>	māra	</K2><p><LANG n = "RUSSIAN">	уничтожающий, умертвляющий; m. смерть, препятствие, бог любви; дьявол (буд.) 	</LANG><p><LANG n = "ENGLISH">	destroying, killing; m. death, obstacle, god of love; devil (with Buddhists) 	</LANG><p><LANG n = "CZECH">	ničící, usmrcující; m. smrt, překážka, bůh lásky; dábel (buddh.) 	<p>@<LEND>
<L>	5228	<pc>	222	<K1>	mAruta	</K1><K2>	mAruta	</K2>@<K2>	māruta (f. -ī) 	</K2><p><LANG n = "RUSSIAN">	относящийся к Марутам; m. ветер, бог ветра	</LANG><p><LANG n = "ENGLISH">	relating to the Maruts; m. wind, the god of wind	</LANG><p><LANG n = "CZECH">	vztahující se k Marutům; m. vítr, buh větru	<p>@<LEND>
<L>	5229	<pc>	222	<K1>	mArga	</K1><K2>	mArga	</K2>@<K2>	mārga	</K2><p><LANG n = "RUSSIAN">	относящийся к зверям; m. след, тропинка, дорога	</LANG><p><LANG n = "ENGLISH">	pertaining to game; m. a track, path, way	</LANG><p><LANG n = "CZECH">	vztahující se k zvěři; m. stopa, stezka, cesta	<p>@<LEND>
<L>	5230	<pc>	222	<K1>	mArgaRa	</K1><K2>	mArgaRa	</K2>@<K2>	mārgaṇa	</K2><p><LANG n = "RUSSIAN">	просящий; m. нищий, стрела; n. поиски	</LANG><p><LANG n = "ENGLISH">	asking; m. a beggar, arrow; n. investigation	</LANG><p><LANG n = "CZECH">	prosící; m. žebrák, šíp; n. pátrání	<p>@<LEND>
<L>	5231	<pc>	222	<K1>	mAlava	</K1><K2>	mAlava	</K2>@<K2>	mālava m.	</K2><p><LANG n = "RUSSIAN">	название края в средней Индии	</LANG><p><LANG n = "ENGLISH">	name of a country in central India	</LANG><p><LANG n = "CZECH">	jméno kraje v střední Indii	<p>@<LEND>
<L>	5232	<pc>	222	<K1>	mAlA	</K1><K2>	mAlA	</K2>@<K2>	mālā, mālikā f.	</K2><p><LANG n = "RUSSIAN">	венок, шнур, четки, ряд	</LANG><p><LANG n = "ENGLISH">	а wreath, garland, necklace, rosary, series	</LANG><p><LANG n = "CZECH">	věnec, šňura, růženec, řada	<p>@<LEND>
<L>	5233	<pc>	222	<K1>	mAlin	</K1><K2>	mAlin	</K2>@<K2>	mālin	</K2><p><LANG n = "RUSSIAN">	увенченный, окруженный	</LANG><p><LANG n = "ENGLISH">	garlanded, surrounded 	</LANG><p><LANG n = "CZECH">	ověnčený, obklopený	<p>@<LEND>
<L>	5234	<pc>	222	<K1>	mAlya	</K1><K2>	mAlya	</K2>@<K2>	mālya n.	</K2><p><LANG n = "RUSSIAN">	венок	</LANG><p><LANG n = "ENGLISH">	а wreath, garland	</LANG><p><LANG n = "CZECH">	věnec	<p>@<LEND>
<L>	5235	<pc>	222	<K1>	mAs	</K1><K2>	mAs	</K2>@<K2>	mās, māsa m.	</K2><p><LANG n = "RUSSIAN">	месяц (планета и время) 	</LANG><p><LANG n = "ENGLISH">	the moon, a month	</LANG><p><LANG n = "CZECH">	měsíc (těleso doba) 	<p>@<LEND>
<L>	5236	<pc>	222	<K1>	mi	</K1><K2>	mi	</K2>@<K2>	√mi minoti, minute, pp. mita	</K2><p><LANG n = "RUSSIAN">	мерить, наблюдать, строить, укреплять, поднимать	</LANG><p><LANG n = "ENGLISH">	to measure, observe, build, fix, erect	</LANG><p><LANG n = "CZECH">	měřiti, pozorovati, stavěti, upev- ňovati, vztyčovati	<p>@<LEND>
<L>	5237	<pc>	222	<K1>	mita	</K1><K2>	mita	</K2>@<K2>	mita (pp. < mā, mi) 	</K2><p><LANG n = "RUSSIAN">	измеренный, ограниченный, скромный, укрепленный, крепкий	</LANG><p><LANG n = "ENGLISH">	measured, meted out, limited, moderate, fixed, firm	</LANG><p><LANG n = "CZECH">	vyměřen, změřen, omezen, skromný, upevněn, pevný	<p>@<LEND>
<L>	5238	<pc>	223	<K1>	mitra	</K1><K2>	mitra	</K2>@<K2>	mitra m.	</K2><p><LANG n = "RUSSIAN">	друг; имя Адитйи (Митры); n. приятель, дружба	</LANG><p><LANG n = "ENGLISH">	а friend; name of an Āditya (Mitra); n. a friend, friendship, 	</LANG><p><LANG n = "CZECH">	přítel; jméno Ādityi (Mitry); n. přítel, přátelství	<p>@<LEND>
<L>	5239	<pc>	223	<K1>	mitradeva	</K1><K2>	mitradeva	</K2>@<K2>	mitradeva m., n. pr.	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5240	<pc>	223	<K1>	mitriya	</K1><K2>	mitriya	</K2>@<K2>	mitriya	</K2><p><LANG n = "RUSSIAN">	принадлежащий другу, дружеский, происходящий от друга	</LANG><p><LANG n = "ENGLISH">	friendly, coming from а friend 	</LANG><p><LANG n = "CZECH">	přítelův, přátelský, pocházející od přítele	<p>@<LEND>
<L>	5241	<pc>	223	<K1>	miTas	</K1><K2>	miTas	</K2>@<K2>	mithas adv.	</K2><p><LANG n = "RUSSIAN">	вместе, совместно, между собой, один c другим	</LANG><p><LANG n = "ENGLISH">	together, mutually, among each other, alternately	</LANG><p><LANG n = "CZECH">	dohromady, navzájem, mezi sebou, jeden s druhým	<p>@<LEND>
<L>	5242	<pc>	223	<K1>	miTilA	</K1><K2>	miTilA	</K2>@<K2>	mithilā f.	</K2><p><LANG n = "RUSSIAN">	название города короля Джанаки	</LANG><p><LANG n = "ENGLISH">	name of the residence of king Janaka	</LANG><p><LANG n = "CZECH">	název města krále Janaky	<p>@<LEND>
<L>	5243	<pc>	223	<K1>	miTuna	</K1><K2>	miTuna	</K2>@<K2>	mithuna	</K2><p><LANG n = "RUSSIAN">	составляющий пару, спаренный; m., n. пара, двойка; n. соединение	</LANG><p><LANG n = "ENGLISH">	forming а pair, paired; m., n. pair, couple; n. pairing, union	</LANG><p><LANG n = "CZECH">	tvořící dvojici, spářený; m., n. pár, dvojice; n. spáření, spojeni	<p>@<LEND>
<L>	5244	<pc>	223	<K1>	miTyA	</K1><K2>	miTyA	</K2>@<K2>	mithyā adv.	</K2><p><LANG n = "RUSSIAN">	неправдиво, напрасно	</LANG><p><LANG n = "ENGLISH">	falsely, in vain	</LANG><p><LANG n = "CZECH">	nepravdivě, marně	<p>@<LEND>
<L>	5245	<pc>	223	<K1>	miTyAvftta	</K1><K2>	miTyAvftta	</K2>@<K2>	mithyāvṛtta	</K2><p><LANG n = "RUSSIAN">	фальшиво поступающий	</LANG><p><LANG n = "ENGLISH">	acting falsely	</LANG><p><LANG n = "CZECH">	falešně si počínající	<p>@<LEND>
<L>	5246	<pc>	223	<K1>	mil	</K1><K2>	mil	</K2>@<K2>	√mil milati, pp. milita	</K2><p><LANG n = "RUSSIAN">	встречаться, сталкиваться, собираться, сходиться, 	</LANG><p><LANG n = "ENGLISH">	to meet, encounter, assemble, come together	</LANG><p><LANG n = "CZECH">	setkávati se, utkávati se, shromaždovati se, scházeti se	<p>@<LEND>
<L>	5247	<pc>	223	<K1>	melayati	</K1><K2>	melayati	</K2>@<K2>	 +caus. melayati	</K2><p><LANG n = "RUSSIAN">	собирать, созывать	</LANG><p><LANG n = "ENGLISH">	to assemble, call together 	</LANG><p><LANG n = "CZECH">	shromaždovati, svolávati	<p>@<LEND>
<L>	5248	<pc>	223	<K1>	milita	</K1><K2>	milita	</K2>@<K2>	milita (pp. < mil) 	</K2><p><LANG n = "RUSSIAN">	встретившийся, объединенный, собранный	</LANG><p><LANG n = "ENGLISH">	met, joined, assembled	</LANG><p><LANG n = "CZECH">	setkavší se, sdružený, shromážděný	<p>@<LEND>
<L>	5249	<pc>	223	<K1>	miSra	</K1><K2>	miSra	</K2>@<K2>	miśra	</K2><p><LANG n = "RUSSIAN">	смешанный, разный; -° соединенный	</LANG><p><LANG n = "ENGLISH">	mixed, various; -° connected 	</LANG><p><LANG n = "CZECH">	smíšený, různý; -° spojený	<p>@<LEND>
<L>	5250	<pc>	223	<K1>	AryamiSra	</K1><K2>	AryamiSra	</K2>@<K2>	 +āryamiśra	</K2><p><LANG n = "RUSSIAN">	почтенный	</LANG><p><LANG n = "ENGLISH">	respectable	</LANG><p><LANG n = "CZECH">	ctihodný	<p>@<LEND>
<L>	5251	<pc>	223	<K1>	vacAMsi	</K1><K2>	vacAMsi	</K2>@<K2>	 +vacāṃsi miśrā-kar	</K2><p><LANG n = "RUSSIAN">	разговаривать	</LANG><p><LANG n = "ENGLISH">	to talk together	</LANG><p><LANG n = "CZECH">	rozmlouvati 	<p>@<LEND>
<L>	5252	<pc>	223	<K1>	miz	</K1><K2>	miz	</K2>@<K2>	√miṣ miṣati, pp. miṣita	</K2><p><LANG n = "RUSSIAN">	мигать, моргать	</LANG><p><LANG n = "ENGLISH">	to wink, blink 	</LANG><p><LANG n = "CZECH">	mžikati, mřkati 	<p>@<LEND>
<L>	5253	<pc>	223	<K1>	udmiz	</K1><K2>	udmiz	</K2>@<K2>	 +ud (udmiṣ)	</K2><p><LANG n = "RUSSIAN">	открывать глаза	</LANG><p><LANG n = "ENGLISH">	to open the eyes	</LANG><p><LANG n = "CZECH">	otvirati oči	<p>@<LEND>
<L>	5254	<pc>	223	<K1>	nimiz	</K1><K2>	nimiz	</K2>@<K2>	 +ni (nimiṣ)	</K2><p><LANG n = "RUSSIAN">	закрывать глаза, засыпать	</LANG><p><LANG n = "ENGLISH">	to shut the eyes, fall asleep 	</LANG><p><LANG n = "CZECH">	zavirati oči, usnouti	<p>@<LEND>
<L>	5255	<pc>	223	<K1>	miza	</K1><K2>	miza	</K2>@<K2>	miṣa n.	</K2><p><LANG n = "RUSSIAN">	обман, представление	</LANG><p><LANG n = "ENGLISH">	fraud, pretext	</LANG><p><LANG n = "CZECH">	klam, předstírání	<p>@<LEND>
<L>	5256	<pc>	223	<K1>	mI	</K1><K2>	mI	</K2>@<K2>	√mī mīnāti, minoti, pp. -mīta	</K2><p><LANG n = "RUSSIAN">	повреждать, уменьшать, уничтожать	</LANG><p><LANG n = "ENGLISH">	to damage, diminish, destroy 	</LANG><p><LANG n = "CZECH">	oškozovati, zmenšovati, ničiti	<p>@<LEND>
<L>	5257	<pc>	223	<K1>	mIyate	</K1><K2>	mIyate	</K2>@<K2>	 +pass. mīyate	</K2><p><LANG n = "RUSSIAN">	гибнуть	</LANG><p><LANG n = "ENGLISH">	to perish	</LANG><p><LANG n = "CZECH">	hynouti	<p>@<LEND>
<L>	5258	<pc>	223	<K1>	pramApayati	</K1><K2>	pramApayati	</K2>@<K2>	 +caus. pramāpayati	</K2><p><LANG n = "RUSSIAN">	уничтожать, убивать	</LANG><p><LANG n = "ENGLISH">	to annihilate, kill	</LANG><p><LANG n = "CZECH">	ničiti, zabijeti	<p>@<LEND>
<L>	5259	<pc>	223	<K1>	AmI	</K1><K2>	AmI	</K2>@<K2>	 +ā (āmī)	</K2><p><LANG n = "RUSSIAN">	нарушать, устранять, отодвигать в сторону	</LANG><p><LANG n = "ENGLISH">	to violate, remove, put out of place	</LANG><p><LANG n = "CZECH">	porušovati, odstraňovati, odsouvati	<p>@<LEND>
<L>	5260	<pc>	223	<K1>	udmI	</K1><K2>	udmI	</K2>@<K2>	 +ud (udmī)	</K2><p><LANG n = "RUSSIAN">	обманывать	</LANG><p><LANG n = "ENGLISH">	to deceive, cheat	</LANG><p><LANG n = "CZECH">	klamati	<p>@<LEND>
<L>	5261	<pc>	223	<K1>	pramI	</K1><K2>	pramI	</K2>@<K2>	 +pra (pramī)	</K2><p><LANG n = "RUSSIAN">	уничтожать, преступать (приказы) 	</LANG><p><LANG n = "ENGLISH">	to destroy, transgress, violate (a law) 	</LANG><p><LANG n = "CZECH">	ničiti, přestupovati (příkazy) 	<p>@<LEND>
<L>	5262	<pc>	223	<K1>	mIDa	</K1><K2>	mIDa	</K2>@<K2>	mīdha n.	</K2><p><LANG n = "RUSSIAN">	заработная плата, вознаграждение	</LANG><p><LANG n = "ENGLISH">	reward, price	</LANG><p><LANG n = "CZECH">	mzda, odměna	<p>@<LEND>
<L>	5263	<pc>	224	<K1>	mIQvaMs	</K1><K2>	mIQvaMs	</K2>@<K2>	mīḍhvaṃs (nom. mīḍbvān; obl. mīḍhuṣ-) 	</K2><p><LANG n = "RUSSIAN">	награждающий, щедро одаряющий	</LANG><p><LANG n = "ENGLISH">	giving reward, bestowing richly 	</LANG><p><LANG n = "CZECH">	odměňující, bohatě uštědřující	<p>@<LEND>
<L>	5264	<pc>	224	<K1>	mIna	</K1><K2>	mIna	</K2>@<K2>	mīna m. 	</K2><p><LANG n = "RUSSIAN">	рыба	</LANG><p><LANG n = "ENGLISH">	a fish	</LANG><p><LANG n = "CZECH">	ryba	<p>@<LEND>
<L>	5265	<pc>	224	<K1>	mInaripu	</K1><K2>	mInaripu	</K2>@<K2>	mīnaripu m.	</K2><p><LANG n = "RUSSIAN">	враг рыб, солнце	</LANG><p><LANG n = "ENGLISH">	enemy of fish, the sun 	</LANG><p><LANG n = "CZECH">	nepřítel ryb, slunce	<p>@<LEND>
<L>	5266	<pc>	224	<K1>	mImAMsA	</K1><K2>	mImAMsA	</K2>@<K2>	mīmāṃsā f.	</K2><p><LANG n = "RUSSIAN">	размышление, разбор ведического текста, система инд. философии	</LANG><p><LANG n = "ENGLISH">	reflection, examination of the Vedic text, a system of Indian philosophy	</LANG><p><LANG n = "CZECH">	uvažování, zkoumání vedského textu, systém ind. filosofie	<p>@<LEND>
<L>	5267	<pc>	224	<K1>	mIl	</K1><K2>	mIl	</K2>@<K2>	√mīl mīlati, pp. mīlita	</K2><p><LANG n = "RUSSIAN">	закрывать глаза	</LANG><p><LANG n = "ENGLISH">	to close the eyes 	</LANG><p><LANG n = "CZECH">	zavirati oči	<p>@<LEND>
<L>	5268	<pc>	224	<K1>	muMc	</K1><K2>	muMc	</K2>@<K2>	√muṃc v. I muc	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5269	<pc>	224	<K1>	muMja	</K1><K2>	muMja	</K2>@<K2>	muṃja, muṃḍa, v. muñja, muṇḍa 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5270	<pc>	224	<K1>	muMbArava	</K1><K2>	muMbArava	</K2>@<K2>	muṃbārava v. mumbārava 	</K2><p><LANG n = "RUSSIAN">		</LANG><p><LANG n = "ENGLISH">		</LANG><p><LANG n = "CZECH">		<p>@<LEND>
<L>	5271	<pc>	224	<K1>	mukuwa	</K1><K2>	mukuwa	</K2>@<K2>	mukuṭa m.	</K2><p><LANG n = "RUSSIAN">	диадема	</LANG><p><LANG n = "ENGLISH">	a diadem	</LANG><p><LANG n = "CZECH">	čelenka	<p>@<LEND>
<L>	5272	<pc>	224	<K1>	mukta	</K1><K2>	mukta	</K2>@<K2>	mukta (pp. < muc) 	</K2><p><LANG n = "RUSSIAN">	развязанный, освобожденный, pазбросанный, нанесенный (удар), посланный, лишенный, избавленный, искупленный	</LANG><p><LANG n = "ENGLISH">	loosened, liberated, thrown, emitted, deprived, rid of emancipated	</LANG><p><LANG n = "CZECH">	uvolněný, osvobozený, rozhozený shozený, dopadlý (rána), vyslaný, zbavený, prost, vykoupený	<p>@<LEND>
<L>	5273	<pc>	224	<K1>	mukti	</K1><K2>	mukti	</K2>@<K2>	mukti f.	</K2><p><LANG n = "RUSSIAN">	избавление, искупление, расплата (о долге), бросок	</LANG><p><LANG n = "ENGLISH">	release, final liberation, discharge (of a debt), throwing	</LANG><p><LANG n = "CZECH">	vyproštění, vykoupení, splacení (dluhu), hození	<p>@<LEND>
